Metric,Logistic Regression,Random Forest,Tuned Random Forest
Accuracy,0.7297297297297297,0.7235872235872236,0.7272727272727273
Precision,0.6842105263157895,0.628140703517588,0.635
Recall,0.37681159420289856,0.4528985507246377,0.4601449275362319
F1 Score,0.48598130841121495,0.5263157894736842,0.5336134453781513
